Crash_Year,Crash_Month,County,Crash_Type,Crash_Drug_Use,Crash_Drinking,Crash_Hit_and_Run,Speed_Limit_at_Crash_Site,Total_Motor_Vehicles,Crash
2013,January,Barry,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Barry,Rear-End,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Bay,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,January,Berrien,Rear-End,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,2,0
2013,January,Branch,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Calhoun,Head-On - Left Turn,No Drugs Involved,Drinking Involved,Not Hit-and-Run,45,2,0
2013,January,Clinton,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,January,Delta,Rear-End,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Delta,Head-On,Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Eaton,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,January,Eaton,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,1,0
2013,January,Genesee,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,1,0
2013,January,Genesee,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,35,1,0
2013,January,Genesee,Head-On,No Drugs Involved,Drinking Involved,Not Hit-and-Run,35,2,0
2013,January,Genesee,Angle,Drugs Involved,Drinking Involved,Not Hit-and-Run,35,2,0
2013,January,Grand Traverse,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Grand Traverse,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,January,Grand Traverse,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,35,1,0
2013,January,Houghton,Head-On,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Huron,Rear-End,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Ingham,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,January,Ingham,Rear-End,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,6,0
2013,January,Ionia,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,January,Iron,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,January,Isabella,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,January,Kalamazoo,Rear-End,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,2,0
2013,January,Kent,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,35,1,0
2013,January,Lapeer,Single Motor Vehicle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,1,0
2013,January,Livingston,Rear-End,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,2,0
2013,January,Livingston,Angle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Macomb,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,1,0
2013,January,Macomb,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,1,0
2013,January,Macomb,Head-On - Left Turn,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,2,0
2013,January,Macomb,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Hit-and-Run,40,1,0
2013,January,Mecosta,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,35,1,0
2013,January,Mecosta,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,70,1,0
2013,January,Mecosta,Single Motor Vehicle,Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,January,Midland,Single Motor Vehicle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,January,Midland,Head-On,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Montcalm,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Muskegon,Rear-End,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,22,0
2013,January,Muskegon,Single Motor Vehicle,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,1,0
2013,January,Muskegon,Head-On,No Drugs Involved,Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Newaygo,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Oakland,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,70,1,0
2013,January,Oakland,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,2,0
2013,January,Oakland,Other/Unknown,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,4,0
2013,January,Oakland,Angle,Drugs Involved,No Drinking Involved,Not Hit-and-Run,35,2,0
2013,January,Oakland,Head-On,No Drugs Involved,Drinking Involved,Not Hit-and-Run,45,3,0
2013,January,St. Joseph,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,January,Schoolcraft,Head-On,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Van Buren,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,1,0
2013,January,Van Buren,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,55,2,0
2013,January,Wayne,Single Motor Vehicle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,35,1,0
2013,January,Wayne,Head-On - Left Turn,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,40,2,0
2013,January,Wayne,Angle,No Drugs Involved,No Drinking Involved,Not Hit-and-Run,45,2,0
